"taxpayer_id","document_type","document_number","full_name","first_name","last_name_father","last_name_mother","taxpayer_status","address_condition","ubigeo_code","dni","trade_name","registration_date","activity_start_date","company_url","economic_activity","ciiu_code","taxpayer_type","deactivation_date","email","website","phone","street_address","department_name","province_name","district_name","updated_at","created_at"
416,"20","20474291881","MANOS MORENAS DE AGUSTINA CAYCHO S.A.C.",NULL,NULL,NULL,"ACTIVO","NO HABIDO","150108",NULL,"-","04/09/2000","04/09/2000","manos-morenas-de-agustina-caycho-sac","VENTA AL POR MAYOR NO ESPECIALIZADA","4690","SOCIEDAD ANONIMA CERRADA",NULL,NULL,NULL,NULL,"PR CALERO JULIO COO. FILOTEX LTDA 44 MZA. C LOTE. 06","LIMA","LIMA","CHORRILLOS","2026-04-26 17:21:24.891-05","2025-09-29 17:30:51.591234-05"
417,"20","20605155554","CORDILLERA CREATIVA E.I.R.L.",NULL,NULL,NULL,"ACTIVO","HABIDO","150130",NULL,"-","21/08/2019","10/03/2022","cordillera-creativa-eirl","VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO","4641","EMPRESA INDIVIDUAL DE RESP. LTDA",NULL,NULL,NULL,NULL,"VELASCO ASTETE MZA. A LOTE. 1","LIMA","LIMA","SAN BORJA","2026-04-26 17:22:14.195-05","2025-09-29 17:30:51.591234-05"
420,"20","20605183159","COMUNIDAD CAMPESINA DE SANTA CRUZ DE HUAMANMARCA",NULL,NULL,NULL,"ACTIVO","HABIDO","090715",NULL,"-","27/08/2019","27/08/2019","comunidad-campesina-de-santa-cruz-de-huamanmarca","ACTIVIDADES DE OTRAS ASOCIACIONES N.C.P.","9499","COMUNIDAD CAMPESINA, NATIVA",NULL,NULL,NULL,NULL,"BARR. HUAMANMARCA ANX. HUAMANMARCA NRO. SN","HUANCAVELICA","TAYACAJA","SALCAHUASI","2026-04-26 17:23:02.809-05","2025-09-29 17:30:51.591234-05"
421,"20","20472040031","ASOC COM MCDO LA UNION LA CAMPINA CAJAMA",NULL,NULL,NULL,"ACTIVO","HABIDO","150118",NULL,"-","18/07/2000","18/07/2000","asoc-com-mcdo-la-union-la-campina-cajama","ACTIVIDADES DE OTRAS ASOCIACIONES N.C.P.","9499","ASOCIACION",NULL,NULL,NULL,NULL,"SECTOR B CAJARMARQUILLA A.H. CASA HUERTA LA CAMPINA NRO. V INT. 01","LIMA","LIMA","LURIGANCHO","2026-04-26 17:23:50.882-05","2025-09-29 17:30:51.591234-05"
422,"20","20605182675","FISIODERMA S.A.C.",NULL,NULL,NULL,"ACTIVO","HABIDO","150116",NULL,"-","29/03/2023","12/04/2023","fisioderma-sac","ACTIVIDADES DE MÉDICOS Y ODONTÓLOGOS","8620","SOCIEDAD ANONIMA CERRADA",NULL,NULL,NULL,NULL,"PEDRO CONDE URB. FUNDO LOBATON NRO. 139","LIMA","LIMA","LINCE","2026-04-26 17:24:39.275-05","2025-09-29 17:30:51.591234-05"
423,"20","20605187685","CORPORACION BENEDETTO E.I.R.L.",NULL,NULL,NULL,"ACTIVO","HABIDO","150142",NULL,"-","28/08/2019","01/09/2019","corporacion-benedetto-eirl","VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES","4530","EMPRESA INDIVIDUAL DE RESP. LTDA",NULL,NULL,NULL,NULL,"GRUPO 1 SEC. 2 MZA. D LOTE. 19","LIMA","LIMA","VILLA EL SALVADOR","2026-04-26 17:25:27.502-05","2025-09-29 17:30:51.591234-05"
424,"20","20605213635","EMPRESA M & T ALEXANDER S.R.L.",NULL,NULL,NULL,"ACTIVO","HABIDO","022001",NULL,"-","04/09/2019","04/09/2019","empresa-m-t-alexander-srl","CONSTRUCCIÓN DE OTRAS OBRAS DE INGENIERÍA CIVIL","4290","SOC.COM.RESPONS. LTDA",NULL,NULL,NULL,NULL,"CA. PUNYAN CAS. PUNYAN NRO. SN","ANCASH","YUNGAY","YUNGAY","2026-04-26 17:26:15.895-05","2025-09-29 17:30:51.591234-05"
425,"20","20501964370","ASOCIACION DE MOTOCAR VIRGEN DE LAS MERCEDES",NULL,NULL,NULL,"ACTIVO","HABIDO","150119",NULL,"-","04/04/2001","04/04/2001","asociacion-de-motocar-virgen-de-las-mercedes","ACTIVIDADES DE OTRAS ASOCIACIONES N.C.P.","9499","ASOCIACION",NULL,NULL,NULL,NULL,"CARRETERA PANAMERICANA NRO. 36.5","LIMA","LIMA","LURIN","2026-04-26 17:27:04.094-05","2025-09-29 17:30:51.591234-05"
426,"20","20605215603","TEXTIL DFL S.A.C.",NULL,NULL,NULL,"ACTIVO","HABIDO","150103",NULL,"-","05/09/2019","05/09/2019","textil-dfl-sac","FABRICACIÓN DE OTROS PRODUCTOS TEXTILES N.C.P.","1399","SOCIEDAD ANONIMA CERRADA",NULL,NULL,NULL,NULL,"UCV 155 A.H. HUAYCAN ZONA K LOTE. 27","LIMA","LIMA","ATE","2026-04-26 17:27:52.209-05","2025-09-29 17:30:51.591234-05"
297,"20","20428487941","OPENSOFT CONSULTORIA EN SISTEMAS S.A.C.",NULL,NULL,NULL,"ACTIVO","HABIDO","150113",NULL,"OPENSOFT S.A.C.","18/06/1999","18/06/1999","opensoft-consultoria-en-sistemas-sac","OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.","9609","SOCIEDAD ANONIMA",NULL,NULL,NULL,NULL,"EDIFICIO EL JACARANDA RES. SAN FELIPE NRO. SN","LIMA","LIMA","JESUS MARIA","2026-04-26 17:08:35.017-05","2025-09-29 17:30:50.325945-05"
429,"20","20605228322","JUNTA DE PROPIETARIOS AVENIDA SAN BORJA SUR NUMERO 355-357-359-361 LOTE N°13 DE LA MANZANA L-10",NULL,NULL,NULL,"ACTIVO","HABIDO","150130",NULL,"-","09/09/2019","09/09/2019","junta-de-propietarios-avenida-san-borja-sur-numero-355-357-359-361-lote-n-13-de-la-manzana-l-10","ACTIVIDADES DE OTRAS ASOCIACIONES N.C.P.","9499","JUNTA DE PROPIETARIOS",NULL,NULL,NULL,NULL,"SAN BORJA SUR URB. SAN BORJA SUR III NRO. 355","LIMA","LIMA","SAN BORJA","2026-04-26 17:30:17.344-05","2025-09-29 17:30:51.591234-05"
430,"20","20605232052","MASH PROYECTOS E.I.R.L.",NULL,NULL,NULL,"ACTIVO","HABIDO","150130",NULL,"MASH PROYECTOS","09/09/2019","09/09/2019","mash-proyectos-eirl","ACTIVIDADES ESPECIALIZADAS DE DISEÑO","7410","EMPRESA INDIVIDUAL DE RESP. LTDA",NULL,NULL,NULL,NULL,"PUCCINI URB. SAN BORJA SUR MZA. B14 LOTE. 12","LIMA","LIMA","SAN BORJA","2026-04-26 17:31:06.022-05","2025-09-29 17:30:51.591234-05"
431,"20","20605252177","TOPOGRAFIA Y SERVICIOS GENERALES J&M E.I.R.L.",NULL,NULL,NULL,"ACTIVO","HABIDO","040103",NULL,"-","13/09/2019","13/09/2019","topografia-y-servicios-generales-j-m-eirl","ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA","7110","EMPRESA INDIVIDUAL DE RESP. LTDA",NULL,NULL,NULL,NULL,"ALTO CAYMA A.H. VICTOR RAUL HAYA DE LA TO MZA. C LOTE. 12","AREQUIPA","AREQUIPA","CAYMA","2026-04-26 17:31:54.038-05","2025-09-29 17:30:51.591234-05"
432,"20","20605252428","VSM CONSULTORES E.I.R.L.",NULL,NULL,NULL,"ACTIVO","HABIDO","150131",NULL,"-","13/09/2019","13/09/2019","vsm-consultores-eirl","ACTIVIDADES DE CONSULTORÍA DE GESTIÓN","7020","EMPRESA INDIVIDUAL DE RESP. LTDA",NULL,NULL,NULL,NULL,"JORGE BASADRE GROHMAN NRO. 1240","LIMA","LIMA","SAN ISIDRO","2026-04-26 17:32:42.211-05","2025-09-29 17:30:51.591234-05"
433,"20","20605253041","J.MASER EIRL",NULL,NULL,NULL,"ACTIVO","HABIDO","150113",NULL,"-","13/09/2019","13/09/2019","jmaser-eirl","ACTIVIDADES DE CONSULTORÍA DE GESTIÓN","7020","EMPRESA INDIVIDUAL DE RESP. LTDA",NULL,NULL,NULL,NULL,"F DE ZELA NRO. 926","LIMA","LIMA","JESUS MARIA","2026-04-26 17:33:30.936-05","2025-09-29 17:30:51.591234-05"
434,"20","20605265821","XAFER PERU S.A.C.",NULL,NULL,NULL,"ACTIVO","HABIDO","150122",NULL,"-","17/09/2019","05/10/2019","xafer-peru-sac","VENTA AL POR MAYOR NO ESPECIALIZADA","4690","SOCIEDAD ANONIMA CERRADA",NULL,NULL,NULL,NULL,"G. CHARIARSE NRO. 151","LIMA","LIMA","MIRAFLORES","2026-04-26 17:34:19-05","2025-09-29 17:30:51.591234-05"
435,"20","20175725122","INVERSIONES SAN PATRICIO S.A.C.",NULL,NULL,NULL,"ACTIVO","HABIDO","150130",NULL,"-","08/02/2024","08/02/2024","inversiones-san-patricio-sac","ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS","6810","SOCIEDAD ANONIMA CERRADA",NULL,NULL,NULL,NULL,"PRIMAVERA URB. CHACARILLA DEL ESTANQUE NRO. 517","LIMA","LIMA","SAN BORJA","2026-04-26 17:35:07.147-05","2025-09-29 17:30:51.591234-05"
436,"20","20334262678","GEOSYS S.R.L.",NULL,NULL,NULL,"ACTIVO","HABIDO","150103",NULL,"-","22/02/2010","25/10/1996","geosys-srl","ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA","7110","SOC.COM.RESPONS. LTDA",NULL,NULL,NULL,NULL,"PROLG. JAVIER PRADO URB. MAYORAZGO NRO. 7367","LIMA","LIMA","ATE","2026-04-26 17:35:55.761-05","2025-09-29 17:30:51.591234-05"
437,"20","20605279725","CONFECCIONES FULL DEPORT´S EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA",NULL,NULL,NULL,"ACTIVO","HABIDO","100201",NULL,"-","19/09/2019","01/10/2019","confecciones-full-deport-s-empresa-individual-de-responsabilidad-limitada","FABRICACIÓN DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL","1410","EMPRESA INDIVIDUAL DE RESP. LTDA",NULL,NULL,NULL,NULL,"PORVENIR A.H. PORVENIR LOTE. 02","HUANUCO","AMBO","AMBO","2026-04-26 17:36:44.323-05","2025-09-29 17:30:51.591234-05"
438,"20","20600198964","INMOBILIARIA IDAISA E.I.R.L.",NULL,NULL,NULL,"ACTIVO","HABIDO","150113",NULL,"-","07/03/2015","09/03/2015","inmobiliaria-idaisa-eirl","ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS","6810","EMPRESA INDIVIDUAL DE RESP. LTDA",NULL,NULL,NULL,NULL,"ARNALDO MÁRQUEZ NRO. 1964","LIMA","LIMA","JESUS MARIA","2026-04-26 17:37:32.855-05","2025-09-29 17:30:51.591234-05"
439,"20","20605279784","UBITA S.A.C.",NULL,NULL,NULL,"ACTIVO","HABIDO","150128",NULL,"-","19/09/2019","01/10/2019","ubita-sac","VENTA AL POR MAYOR DE ALIMENTOS, BEBIDAS Y TABACO","4630","SOCIEDAD ANONIMA CERRADA",NULL,NULL,NULL,NULL,"CHALET U.V. DEL RIMAC NRO. 57","LIMA","LIMA","RIMAC","2026-04-26 17:38:20.974-05","2025-09-29 17:30:51.591234-05"
440,"20","20605282041","VERACH INTERNATIONAL S.A.C.",NULL,NULL,NULL,"ACTIVO","HABIDO","150114",NULL,"-","19/09/2019","19/09/2019","verach-international-sac","VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO","4641","SOCIEDAD ANONIMA CERRADA",NULL,NULL,NULL,NULL,"UNIVERSIDAD MZA. B LOTE. 9","LIMA","LIMA","LA MOLINA","2026-04-26 17:39:09.309-05","2025-09-29 17:30:51.591234-05"
441,"20","20605289615","INVERSIONES Y MULTISERVICIOS SANCHEZ E.I.R.L.",NULL,NULL,NULL,"ACTIVO","HABIDO","160201",NULL,"ELECTRONICA SÁNCHEZ","20/09/2019","20/09/2019","inversiones-y-multiservicios-sanchez-eirl","REPARACIÓN DE APARATOS ELECTRÓNICOS DE CONSUMO","9521","EMPRESA INDIVIDUAL DE RESP. LTDA",NULL,NULL,NULL,NULL,"MARAÑON NRO. 177","LORETO","ALTO AMAZONAS","YURIMAGUAS","2026-04-26 17:39:57.367-05","2025-09-29 17:30:51.591234-05"
442,"20","20605287248","SER TOP MAC S.A.C.",NULL,NULL,NULL,"ACTIVO","HABIDO","150142",NULL,"SER TOP MAC","20/09/2019","20/09/2019","ser-top-mac-sac","ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA","7110","SOCIEDAD ANONIMA CERRADA",NULL,NULL,NULL,NULL,"GRUPO 6A SEC. VI MZA. B LOTE. 20","LIMA","LIMA","VILLA EL SALVADOR","2026-04-26 17:40:45.388-05","2025-09-29 17:30:51.591234-05"
443,"20","20605293469","LATIN TRADE CORPORATION S.R.L.",NULL,NULL,NULL,"ACTIVO","HABIDO","150110",NULL,"-","23/09/2019","23/09/2019","latin-trade-corporation-srl","ACTIVIDADES DE CONSULTORÍA DE GESTIÓN","7020","SOC.COM.RESPONS. LTDA",NULL,NULL,NULL,NULL,"PARCELA B URB. EL PINAR MZA. N LOTE. 50","LIMA","LIMA","COMAS","2026-04-26 17:41:33.731-05","2025-09-29 17:30:51.591234-05"
444,"20","20605302981","ASOCIACION DE INVESTIGACION CULTURAL DE ARTE, CIENCIA Y TECNOLOGIA ONG - AICACT ONG",NULL,NULL,NULL,"ACTIVO","HABIDO","150105",NULL,"-","24/09/2019","24/09/2019","asociacion-de-investigacion-cultural-de-arte-ciencia-y-tecnologia-ong-aicact-ong","ACTIVIDADES DE OTRAS ASOCIACIONES N.C.P.","9499","ASOCIACION",NULL,NULL,NULL,NULL,"JUAN PABLO FERNANDINI NRO. 847 INT. 210","LIMA","LIMA","BREÑA","2026-04-26 17:42:22.372-05","2025-09-29 17:30:51.591234-05"
445,"20","20605307460","ANDINO'S MMAC E.I.R.L.",NULL,NULL,NULL,"ACTIVO","HABIDO","130702",NULL,"POLLERIA REST.ANDINO'S CHICKEN","25/09/2019","01/10/2019","andino-s-mmac-eirl","ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MÓVIL DE COMIDAS","5610","EMPRESA INDIVIDUAL DE RESP. LTDA",NULL,NULL,NULL,NULL,"PLAZA DE ARMAS NRO. 308","LA LIBERTAD","PACASMAYO","GUADALUPE","2026-04-26 17:43:10.77-05","2025-09-29 17:30:51.591234-05"
446,"20","20605305521","FASHIONNOVA E.I.R.L.",NULL,NULL,NULL,"ACTIVO","HABIDO","150130",NULL,"-","25/09/2019","25/09/2019","fashionnova-eirl","FABRICACIÓN DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL","1410","EMPRESA INDIVIDUAL DE RESP. LTDA",NULL,NULL,NULL,NULL,"LOPEZ DE AYALA NRO. 458","LIMA","LIMA","SAN BORJA","2026-04-26 17:43:58.933-05","2025-09-29 17:30:51.591234-05"
472,"20","20605452524","GYNELAP E.I.R.L.",NULL,NULL,NULL,"ACTIVO","HABIDO","150113",NULL,"-","29/10/2019","29/10/2019","gynelap-eirl","OTRAS ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA","8690","EMPRESA INDIVIDUAL DE RESP. LTDA",NULL,NULL,NULL,NULL,"HORACIO URTEAGA NRO. 806","LIMA","LIMA","JESUS MARIA","2026-04-26 17:44:47.037-05","2025-09-29 17:30:51.591234-05"
279,"20","20604980608","CHANGE WORLD STUDENT AND TRAVEL S.A.C.",NULL,NULL,NULL,"ACTIVO","HABIDO","150122",NULL,"-","10/07/2019","10/07/2019","change-world-student-and-travel-sac","ACTIVIDADES DE CONSULTORÍA DE GESTIÓN","7020","SOCIEDAD ANONIMA CERRADA",NULL,NULL,NULL,NULL,"SAN MARTIN NRO. 369","LIMA","LIMA","MIRAFLORES","2026-04-26 17:45:35.198-05","2025-09-29 17:30:50.325945-05"
448,"20","20605327878","TRANSPORTES CALDERON HNOS S.A.C.",NULL,NULL,NULL,"ACTIVO","HABIDO","140102",NULL,"CALDERON HNOS","30/09/2019","01/10/2019","transportes-calderon-hnos-sac","OTRAS ACTIVIDADES DE TRANSPORTE POR VÍA TERRESTRE","4922","SOCIEDAD ANONIMA CERRADA",NULL,NULL,NULL,NULL,"CENTRAL NRO. 118","LAMBAYEQUE","CHICLAYO","CHONGOYAPE","2026-04-26 17:46:23.26-05","2025-09-29 17:30:51.591234-05"
449,"20","20300814639","PERU ZUCKER S.A.",NULL,NULL,NULL,"ACTIVO","NO HABIDO","140102",NULL,"ZUCKER S.A.","20/02/1996","20/02/1996","peru-zucker-sa","VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y ANIMALES VIVOS","4620","SOCIEDAD ANONIMA",NULL,NULL,NULL,NULL,"PREDIO HUACA BLANCA FND. CHONGOYAPE NRO. S/N","LAMBAYEQUE","CHICLAYO","CHONGOYAPE","2026-04-26 17:47:11.659-05","2025-09-29 17:30:51.591234-05"
402,"20","20605108726","SERVICIOS Y TRANSPORTE LUCIANA CARGO E.I.R.L",NULL,NULL,NULL,"ACTIVO","HABIDO","150103",NULL,"-","09/08/2019","09/08/2019","servicios-y-transporte-luciana-cargo-eirl","TRANSPORTE DE CARGA POR CARRETERA","4923","EMPRESA INDIVIDUAL DE RESP. LTDA",NULL,NULL,NULL,NULL,"III ETAPA ASC. RESIDENCIAL LOS OLIVOS DE MZA. A LOTE. 9","LIMA","LIMA","ATE","2026-04-26 17:11:47.792-05","2025-09-29 17:30:51.591234-05"
450,"20","20605326065","ECOLUNCH S.A.C.",NULL,NULL,NULL,"ACTIVO","HABIDO","150130",NULL,"ECOLUNCH S.A.C.","30/09/2019","01/12/2019","ecolunch-sac","ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MÓVIL DE COMIDAS","5610","SOCIEDAD ANONIMA CERRADA",NULL,NULL,NULL,NULL,"DE LA HISTORIA A.H. SAN JUAN MASIAS MZA. G1 LOTE. 11","LIMA","LIMA","SAN BORJA","2026-04-26 17:48:48.493-05","2025-09-29 17:30:51.591234-05"
451,"20","20605351710","INVERSIONES QABAL S.A.C.",NULL,NULL,NULL,"ACTIVO","HABIDO","150122",NULL,"-","04/10/2019","04/10/2019","inversiones-qabal-sac","ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA","6820","SOCIEDAD ANONIMA CERRADA",NULL,NULL,NULL,NULL,"EMRIQUE PALACIOS NRO. 360","LIMA","LIMA","MIRAFLORES","2026-04-26 17:49:36.574-05","2025-09-29 17:30:51.591234-05"
452,"20","20605359371","INVERSIONES MARBIA S.A.C.",NULL,NULL,NULL,"ACTIVO","HABIDO","131202",NULL,"-","07/10/2019","07/10/2019","inversiones-marbia-sac","OTRAS ACTIVIDADES DE VENTA AL POR MENOR EN COMERCIOS NO ESPECIALIZADOS","4719","SOCIEDAD ANONIMA CERRADA",NULL,NULL,NULL,NULL,"LA RIVERA SEC. CHAO MZA. 19 LOTE. 18","LA LIBERTAD","VIRU","CHAO","2026-04-26 17:50:24.667-05","2025-09-29 17:30:51.591234-05"
453,"20","20605357858","ASOCIACION DE COMERCIANTES EL GRAN CAMBIO RESPONSABLE DE BREÑA",NULL,NULL,NULL,"ACTIVO","HABIDO","150105",NULL,"-","07/10/2019","07/10/2019","asociacion-de-comerciantes-el-gran-cambio-responsable-de-brena","ACTIVIDADES DE OTRAS ASOCIACIONES N.C.P.","9499","ASOCIACION",NULL,NULL,NULL,NULL,"LORETO NRO. 225","LIMA","LIMA","BREÑA","2026-04-26 17:51:12.703-05","2025-09-29 17:30:51.591234-05"
